"YEAR","CONF","TEAM","SEED","ROUND","KADJ.T","KADJ.O","KADJ.D","BADJ.EM","BADJ.O","BADJ.D","GAMES","W","L","WIN.","EFG.","EFG.D","FTR","FTRD","TOV.","TOV.D","OREB.","DREB.","OP.OREB.","OP.DREB.","RAW.T","X2PT.","X2PT.D","X3PT.","X3PT.D","BLK.","BLKED.","AST.","OP.AST.","X2PTR","X3PTR","X2PTRD","X3PTRD","BADJ.T","AVG.HGT","EFF.HGT","EXP","TALENT","FT.","OP.FT.","PPPO","PPPD"
2025,"SB","Troy",14,0,66.3679,107.706,100.828,6.03,106.678,100.648,31,21,10,67.74194,50.1,47.2,37.8,29.3,19.9,19.8,38.6,68,32,61.4,66.8,53.9,46.2,30.3,32.6,12.8,10.3,55.6,51,55.2,44.8,61.9,38.1,66.137,77.8,80.146,1.661,0.2,72.6,72.2,1.084,0.988
2025,"BW","UC San Diego",12,0,65.7295,115.29,96.5133,16.494,113.482,96.988,32,28,4,87.5,55.4,47.7,33.8,29.8,13.4,23.3,25.6,71.6,28.4,74.4,66.9,56.1,46.2,36.5,33.1,7.5,10.1,57.3,51.8,50.4,49.6,55.7,44.3,65.781,77.481,78.923,2.447,14.091,74.6,75.4,1.164,0.939
2025,"B10","UCLA",7,0,64.9617,116.828,95.0405,22.61,117.87,95.26,32,22,10,68.75,53,50.5,32.9,34.6,15.9,22.8,32.8,70.8,29.2,67.2,66.6,53.1,51.2,35.2,33.2,10.5,7,60.5,57.8,64,36,55.2,44.8,65.028,78.101,81.377,1.849,70.64,70.3,74.9,1.123,0.987
2025,"CAA","UNC Wilmington",14,0,65.3908,112.326,107.183,5.437,112.229,106.792,32,25,7,78.125,52.2,50.9,37.8,30.3,16,17.4,35.4,71.9,28.1,64.6,66.3,53.8,50.4,33,34.4,10.6,9.5,54.4,48.3,63.8,36.2,57.4,42.6,65.132,77.644,80.484,2.555,0.2,75.3,68.1,1.146,1.045
2025,"MWC","Utah St.",10,0,67.6245,120.785,105.555,17.365,122.555,105.19,32,25,7,78.125,56,51.8,37.6,36.2,16,20.2,34.6,69.7,30.3,65.4,67.3,57.7,52.6,35.8,33.8,9.4,9.5,61.1,58.4,57.7,42.3,55.6,44.4,67.63,77.29,80.475,2.077,17.856,70.2,71.9,1.185,1.047
2025,"SEC","Vanderbilt",10,0,69.5281,118.017,101.854,17.475,118.641,101.166,32,20,12,62.5,51.7,52.9,34,39,14.7,20,32.2,70.3,29.7,67.8,70.2,53.6,51.5,32.5,36.9,11.4,11.4,50.1,47.3,59.8,40.2,62.5,37.5,69.566,76.255,78.997,1.973,36.79,74.7,72,1.13,1.061
2025,"A10","VCU",11,0,66.1584,116.251,95.5473,20.229,116.23,96.001,33,27,6,81.81818,52.4,44.4,32.2,36.1,16.8,20.6,36.7,70,30,63.3,66.4,54.2,43.6,33.5,30.6,15.6,7.7,56.5,46.1,52.6,47.4,64.7,35.3,66.134,78.096,81.568,2.233,34.315,74.5,72,1.146,0.938
2025,"B10","Wisconsin",3,0,67.7504,123.276,96.8339,26.317,122.43,96.113,35,26,9,74.28571,53.6,47.9,33.8,28.1,14.1,14.5,28,73.4,26.6,72,68.6,54.7,46.8,34.9,33,6.1,10.8,54.9,49.3,51.9,48.1,60.9,39.1,67.473,78.113,81.776,2.223,24.761,82.8,72.3,1.157,1.023
2025,"SC","Wofford",15,0,64.1094,113.682,109.523,1.796,111.468,109.672,32,17,15,53.125,53.3,51.8,31.1,36.2,16.9,14.9,35.5,73.8,26.2,64.5,64.6,54.6,51.8,34.5,34.5,8.8,9.7,55,49.3,52.3,47.7,54.2,45.8,63.93,76.156,79.167,2.088,0.2,66.8,69.2,1.128,1.086
2025,"BE","Xavier",11,0,69.1435,115.459,98.2866,18.467,116.256,97.789,32,21,11,65.625,53.9,50.6,37.2,28.1,16,17.6,25.2,74.8,25.2,74.8,69.5,51.3,50.5,38.8,33.9,7.2,11.3,63.9,56,62.6,37.4,62.8,37.2,69.015,76.997,80.414,2.524,42.959,79.4,71.8,1.115,1.013
2025,"Ivy","Yale",13,0,67.4019,114.444,103.508,10.191,113.907,103.716,28,21,7,75,54.8,48.8,32,28.7,14.4,16.1,33.2,74.2,25.8,66.8,68.8,53.4,47.3,38.5,33.7,11.8,7.6,53.4,58.8,68,32,52,48,67.208,77.67,79.601,1.876,9.807,73.6,76.6,1.178,1.026
2024,"MAC","Akron",14,64,65.8933,107.009,102.072,3.485,105.033,101.548,32,22,10,68.75,52,48.6,33.6,29,17.2,16.6,29.5,74.4,25.6,70.5,66.7,54.8,50.7,32,30,8,7.8,48.2,45.4,58.5,41.5,63.2,36.8,65.698,76.791,79.973,2.584,10.97,72.4,69.4,1.079,0.997
2024,"SEC","Alabama",4,4,72.6461,125.601,103.118,23.114,125.159,102.045,32,21,11,65.625,56.3,49.9,35.2,39.6,16,15.6,34.9,70.1,29.9,65.1,74.2,57.6,51.1,36.5,31.9,10.2,12.5,51.5,45.1,53.2,46.8,63.3,36.7,72.507,78.211,82.48,2.094,27.836,78.4,74.3,1.213,1.084
